,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,sim_time,cpu_time,action_cpu_time_ur5_1,pcr_sensor_update_time,reward_ur5_1,min_distance_to_obstacles,distance_ur5_1,distance_threshold_ur5_1,ep_reward
0,5,False,False,False,False,1,0.125,0.0,0.0,0.375,0.00416666666,0.1430060863494873,0.0,0.01700878143310547,-4.136437934444036,0.0688667,0.7910660704284503,0.3,-4.136437934444036
1,5,False,False,False,False,2,0.125,0.0,0.0,0.375,0.00833333332,0.1520061492919922,0.0,0.0,-4.282861601305669,0.06799042,0.7908776343978762,0.3,-8.419299535749705
2,5,False,False,False,False,3,0.125,0.0,0.0,0.375,0.01249999998,0.16200661659240723,0.0,0.0,-4.190724805179006,0.06800094,0.7895631178117961,0.3,-12.61002434092871
3,5,False,False,False,False,4,0.125,0.0,0.0,0.375,0.01666666664,0.1710062026977539,0.0,0.0,-4.169507676890893,0.068427354,0.7891070585281971,0.3,-16.779532017819605
4,5,False,False,False,False,5,0.125,0.0,0.0,0.375,0.0208333333,0.18000006675720215,0.0,0.0,-4.176091343425741,0.0683925,0.7877860945382106,0.3,-20.955623361245344
5,5,False,True,False,False,6,0.1111111111111111,0.0,0.0,0.4444444444444444,0.024999999959999998,0.1909797191619873,0.0,0.0,-500.0,0.06736158,0.788654007928176,0.3,-520.9556233612453
