,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,sim_time,cpu_time,action_cpu_time_ur5_1,pcr_sensor_update_time,reward_ur5_1,min_distance_to_obstacles,distance_ur5_1,distance_threshold_ur5_1,ep_reward
0,7,False,False,False,False,1,0.2,0.0,0.0,0.4,0.00416666666,0.14334797859191895,0.0,0.016002655029296875,-2.056801318096721,0.12436994,0.7353101886451756,0.3,-2.056801318096721
1,7,False,False,False,False,2,0.2,0.0,0.0,0.4,0.00833333332,0.15234971046447754,0.0,0.0,-1.9284965663437583,0.12439103,0.7342849575346972,0.3,-3.985297884440479
2,7,False,False,False,False,3,0.2,0.0,0.0,0.4,0.01249999998,0.1613459587097168,0.0,0.0,-2.0872290260877477,0.12250606,0.7336479519049792,0.3,-6.072526910528227
3,7,False,False,False,False,4,0.2,0.0,0.0,0.4,0.01666666664,0.17334699630737305,0.0,0.0,-2.1387365602310897,0.11896139,0.725242459444256,0.3,-8.211263470759317
4,7,False,False,False,False,5,0.2,0.0,0.0,0.4,0.0208333333,0.18234729766845703,0.0,0.0,-2.078706430488474,0.11760992,0.7171059332242972,0.3,-10.28996990124779
5,7,False,False,False,False,6,0.2,0.0,0.0,0.4,0.024999999959999998,0.19134831428527832,0.0,0.0,-2.1696789164600316,0.11696145,0.7154662981955598,0.3,-12.459648817707823
6,7,False,False,False,False,7,0.2,0.0,0.0,0.4,0.029166666619999997,0.20134854316711426,0.0,0.0,-2.163871299030197,0.11872466,0.719745283709554,0.3,-14.62352011673802
7,7,False,False,False,False,8,0.2,0.0,0.0,0.4,0.033333333279999995,0.22831487655639648,0.0,0.016000032424926758,-2.2223405893654187,0.11273906,0.7149909659424377,0.3,-16.845860706103437
8,7,False,False,False,False,9,0.2,0.0,0.0,0.4,0.037499999939999994,0.2383434772491455,0.0,0.0,-2.222575750057929,0.11500552,0.7177606044880844,0.3,-19.068436456161365
9,7,False,False,False,False,10,0.2,0.0,0.0,0.4,0.04166666659999999,0.2473468780517578,0.0,0.0,-2.1574753081423874,0.11592439,0.7173379444998803,0.3,-21.225911764303753
10,7,False,False,False,False,11,0.2,0.0,0.0,0.4,0.04583333325999999,0.25934386253356934,0.0,0.0,-2.0806428851349548,0.11843312,0.7183656209961528,0.3,-23.30655464943871
11,7,False,False,False,False,12,0.2,0.0,0.0,0.4,0.04999999991999999,0.2693469524383545,0.0,0.0,-2.106877318271232,0.119418465,0.7215106990482988,0.3,-25.41343196770994
12,7,False,False,False,False,13,0.2,0.0,0.0,0.4,0.05416666657999999,0.27834582328796387,0.0,0.0,-2.0979729085087166,0.12240287,0.7251797207666082,0.3,-27.511404876218656
13,7,False,False,False,False,14,0.2,0.0,0.0,0.4,0.058333333239999986,0.28936767578125,0.0,0.0,-1.98689280236429,0.12465908,0.7230183754146045,0.3,-29.498297678582947
14,7,False,False,False,False,15,0.2,0.0,0.0,0.4,0.062499999899999985,0.3153409957885742,0.0,0.01600480079650879,-2.0592204455793213,0.121197075,0.7310604576872867,0.3,-31.557518124162268
15,7,False,False,False,False,16,0.2,0.0,0.0,0.4,0.06666666655999999,0.32634830474853516,0.0,0.0,-2.0276880787157303,0.122869454,0.7329107060272158,0.3,-33.585206202878
16,7,False,False,False,False,17,0.2,0.0,0.0,0.4,0.07083333321999999,0.33535122871398926,0.0,0.0,-2.0045171234790766,0.12260138,0.7382217241821185,0.3,-35.589723326357074
17,7,False,False,False,False,18,0.2,0.0,0.0,0.4,0.07499999987999999,0.3453505039215088,0.0,0.0,-1.9958258037753467,0.12366536,0.7321624403209394,0.3,-37.58554913013242
18,7,False,False,False,False,19,0.2,0.0,0.0,0.4,0.07916666653999999,0.3563508987426758,0.0,0.0,-1.9657892168665474,0.12624879,0.735895381263487,0.3,-39.55133834699897
19,7,False,False,False,False,20,0.2,0.0,0.0,0.4,0.08333333319999998,0.36534714698791504,0.0,0.0,-1.933095766875968,0.12641299,0.7360168920693925,0.3,-41.48443411387493
20,7,False,False,False,False,21,0.2,0.0,0.0,0.4,0.08749999985999998,0.37534260749816895,0.0,0.0,-1.9710642276580952,0.12536758,0.7385113408848619,0.3,-43.45549834153303
21,7,False,False,False,False,22,0.2,0.0,0.0,0.4,0.09166666651999998,0.4061572551727295,0.0,0.016993284225463867,-1.9413330421717152,0.12606737,0.7366311411735429,0.3,-45.39683138370474
22,7,False,False,False,False,23,0.2,0.0,0.0,0.4,0.09583333317999998,0.41515159606933594,0.0,0.0,-1.9090554131962287,0.13325517,0.7414466850723558,0.3,-47.30588679690097
23,7,False,False,False,False,24,0.2,0.0,0.0,0.4,0.09999999983999998,0.42612671852111816,0.0,0.0,-1.8806717446337369,0.13613243,0.737607643652963,0.3,-49.18655854153471
24,7,False,False,False,False,25,0.2,0.0,0.0,0.4,0.10416666649999998,0.43715691566467285,0.0,0.0,-1.819767165856673,0.1381603,0.7416334062608112,0.3,-51.00632570739138
25,7,False,False,False,False,26,0.2,0.0,0.0,0.4,0.10833333315999998,0.44612717628479004,0.0,0.0,-1.7159178888846798,0.14023112,0.736982567865872,0.3,-52.722243596276066
26,7,False,False,False,False,27,0.2,0.0,0.0,0.4,0.11249999981999997,0.4551568031311035,0.0,0.0,-1.9306461200343117,0.13403298,0.727235470446408,0.3,-54.652889716310376
27,7,False,False,False,False,28,0.2,0.0,0.0,0.4,0.11666666647999997,0.46512722969055176,0.0,0.0,-1.7801760569624363,0.13825087,0.7226081721034514,0.3,-56.433065773272816
