,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,sim_time,cpu_time,action_cpu_time_ur5_1,pcr_sensor_update_time,reward_ur5_1,min_distance_to_obstacles,distance_ur5_1,distance_threshold_ur5_1,ep_reward
0,11,False,False,False,False,1,0.14285714285714285,0.0,0.07142857142857142,0.5,0.00416666666,0.17006897926330566,0.0,0.01903390884399414,-3.6747387464536065,0.07841134,0.7681559683186792,0.3,-3.6747387464536065
1,11,False,False,False,False,2,0.14285714285714285,0.0,0.07142857142857142,0.5,0.00833333332,0.18304157257080078,0.0,0.0,-3.649286240790997,0.07858598,0.7674901728611563,0.3,-7.324024987244604
2,11,False,False,False,False,3,0.14285714285714285,0.0,0.07142857142857142,0.5,0.01249999998,0.1990680694580078,0.0,0.0,-3.595080037090281,0.07955089,0.7704930745805005,0.3,-10.919105024334884
3,11,False,False,False,False,4,0.14285714285714285,0.0,0.07142857142857142,0.5,0.01666666664,0.21306777000427246,0.0,0.0,-3.381459032822943,0.08200363,0.7694126956884679,0.3,-14.300564057157828
4,11,False,False,False,False,5,0.14285714285714285,0.0,0.07142857142857142,0.5,0.0208333333,0.22604727745056152,0.0,0.0,-3.3019965888797134,0.08509693,0.7644563697290063,0.3,-17.602560646037542
5,11,False,False,False,False,6,0.14285714285714285,0.0,0.07142857142857142,0.5,0.024999999959999998,0.2380664348602295,0.0010018348693847656,0.0,-3.177826476977084,0.08669846,0.7701538093832925,0.3,-20.780387123014627
6,11,False,False,False,False,7,0.14285714285714285,0.0,0.07142857142857142,0.5,0.029166666619999997,0.2530405521392822,0.0,0.0,-3.171854662397397,0.08696342,0.7699345830174029,0.3,-23.952241785412024
7,11,False,False,False,False,8,0.14285714285714285,0.0,0.07142857142857142,0.5,0.033333333279999995,0.2900362014770508,0.0,0.025005578994750977,-4.069886420806184,0.07159442,0.776307761317716,0.3,-28.02212820621821
8,11,False,False,False,False,9,0.14285714285714285,0.0,0.07142857142857142,0.5,0.037499999939999994,0.303041934967041,0.0,0.0,-4.081366391635068,0.07171088,0.7884754428513313,0.3,-32.10349459785328
9,11,False,False,False,False,10,0.14285714285714285,0.0,0.07142857142857142,0.5,0.04166666659999999,0.32379579544067383,0.0,0.0,-4.014747817601001,0.07183379,0.7969530997578852,0.3,-36.118242415454276
10,11,False,False,False,False,11,0.14285714285714285,0.0,0.07142857142857142,0.5,0.04583333325999999,0.3377821445465088,0.0,0.0,-3.8575229656602956,0.07382418,0.8018316770319717,0.3,-39.97576538111457
11,11,False,False,False,False,12,0.14285714285714285,0.0,0.07142857142857142,0.5,0.04999999991999999,0.349806547164917,0.0,0.0,-3.855002225218695,0.07558114,0.8100475463029041,0.3,-43.83076760633327
12,11,False,False,False,False,13,0.14285714285714285,0.0,0.07142857142857142,0.5,0.05416666657999999,0.3648056983947754,0.0,0.0,-3.677117443252616,0.077970736,0.8169388843714279,0.3,-47.50788504958588
13,11,False,False,False,False,14,0.14285714285714285,0.0,0.07142857142857142,0.5,0.058333333239999986,0.37677860260009766,0.0,0.0,-3.607412024416242,0.07978133,0.812574374175394,0.3,-51.11529707400212
14,11,False,False,False,False,15,0.14285714285714285,0.0,0.07142857142857142,0.5,0.062499999899999985,0.4128098487854004,0.0,0.021030187606811523,-3.9353240842797312,0.07276865,0.811593859051696,0.3,-55.05062115828186
15,11,False,False,False,False,16,0.14285714285714285,0.0,0.07142857142857142,0.5,0.06666666655999999,0.4277782440185547,0.0,0.0,-3.8970602159405487,0.07421875,0.8080475032203962,0.3,-58.947681374222405
